[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/collections/media, DELETE} route
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/collections/media, GET} route
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/collections/media/count, GET} route
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/collections/media/:id/content/:page, GET} route
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/collections/exclusions/:id/content/:page, GET} route
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/collections/logs/:id/content/:page, GET} route
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RoutesResolver] TasksController {/app/maintainerr/api/tasks}:
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/tasks/:id/status, GET} route
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RoutesResolver] NotificationsController {/app/maintainerr/api/notifications}:
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/notifications/test, POST} route
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/notifications/agents, GET} route
